predictions,Datetime
36429.41016,1/8/2021 21:00
35240.59375,1/8/2021 22:00
36286.92578,1/8/2021 23:00
35666.10547,1/9/2021 0:00
36394.00391,1/9/2021 1:00
35960.81641,1/9/2021 2:00
34561.23438,1/9/2021 3:00
35261.91016,1/9/2021 4:00
34775.35156,1/9/2021 5:00
33791.14844,1/9/2021 6:00
34044.42188,1/9/2021 7:00
34305.95313,1/9/2021 8:00
33283.32031,1/9/2021 9:00
32836.85156,1/9/2021 10:00
35151.11719,1/9/2021 11:00
33151.67969,1/9/2021 12:00
35739.91406,1/9/2021 13:00
35171.57422,1/9/2021 14:00
36636.97656,1/9/2021 15:00
42074.48828,1/9/2021 16:00
36362.19922,1/9/2021 17:00
42786.69141,1/9/2021 18:00
38150.875,1/9/2021 19:00
43919.90625,1/9/2021 20:00
40219.00391,1/9/2021 21:00
43787.01563,1/9/2021 22:00
39247.41406,1/9/2021 23:00
42294.8125,1/10/2021 0:00
40624.28516,1/10/2021 1:00
43413.38672,1/10/2021 2:00
43633.18359,1/10/2021 3:00
44846.60938,1/10/2021 4:00
44807.96484,1/10/2021 5:00
46444.70313,1/10/2021 6:00
45530.65625,1/10/2021 7:00
46759.99609,1/10/2021 8:00
45544.09766,1/10/2021 9:00
48653.45703,1/10/2021 10:00
46119.70703,1/10/2021 11:00
47732.25,1/10/2021 12:00
47809.67969,1/10/2021 13:00
46412.67188,1/10/2021 14:00
46970.85547,1/10/2021 15:00
47837.21094,1/10/2021 16:00
49232.74609,1/10/2021 17:00
48119.1875,1/10/2021 18:00
49075.64063,1/10/2021 19:00
49693.04297,1/10/2021 20:00
48227.48438,1/10/2021 21:00
49395.40234,1/10/2021 22:00
48735.17969,1/10/2021 23:00
49010.86328,1/11/2021 0:00
49143.01172,1/11/2021 1:00
49299.17969,1/11/2021 2:00
48290.42578,1/11/2021 3:00
48724.80859,1/11/2021 4:00
49273.28516,1/11/2021 5:00
49831.44922,1/11/2021 6:00
49868.27734,1/11/2021 7:00
49353.32031,1/11/2021 8:00
51448.64844,1/11/2021 9:00
50170.01953,1/11/2021 10:00
51551.88672,1/11/2021 11:00
44662.55859,1/11/2021 12:00
50669.57813,1/11/2021 13:00
44822.46484,1/11/2021 14:00
48381.8125,1/11/2021 15:00
46572.40234,1/11/2021 16:00
47933.62109,1/11/2021 17:00
47446.13281,1/11/2021 18:00
48837.52734,1/11/2021 19:00
47498.40625,1/11/2021 20:00
48384.80078,1/11/2021 21:00
48569.73828,1/11/2021 22:00
47711.33594,1/11/2021 23:00
47641.79297,1/12/2021 0:00
43678.77344,1/12/2021 1:00
47545.53906,1/12/2021 2:00
44915.37109,1/12/2021 3:00
46745.67188,1/12/2021 4:00
42933.19922,1/12/2021 5:00
46873.70703,1/12/2021 6:00
43773.875,1/12/2021 7:00
44213.51563,1/12/2021 8:00
44253.16797,1/12/2021 9:00
45545.4375,1/12/2021 10:00
48919.98438,1/12/2021 11:00
44961.75781,1/12/2021 12:00
49671.34375,1/12/2021 13:00
46287.53906,1/12/2021 14:00
51538.09375,1/12/2021 15:00
51208.02344,1/12/2021 16:00
50964.23438,1/12/2021 17:00
53411.58594,1/12/2021 18:00
50673.85156,1/12/2021 19:00
54559.49609,1/12/2021 20:00
52515.18359,1/12/2021 21:00
54309.21484,1/12/2021 22:00
53746.60547,1/12/2021 23:00
54948.06641,1/13/2021 0:00
57548.07813,1/13/2021 1:00
53291.125,1/13/2021 2:00
57484.01172,1/13/2021 3:00
54880.44531,1/13/2021 4:00
58411.08984,1/13/2021 5:00
57471.55859,1/13/2021 6:00
58007.46094,1/13/2021 7:00
56422.29297,1/13/2021 8:00
57203.75781,1/13/2021 9:00
56685.98047,1/13/2021 10:00
58509.21875,1/13/2021 11:00
55678.18359,1/13/2021 12:00
57338.85938,1/13/2021 13:00
56979.05469,1/13/2021 14:00
57273.96484,1/13/2021 15:00
56699.51172,1/13/2021 16:00
57409.28906,1/13/2021 17:00
